Symbol,Low,Open,Price,Volume,High,Change,Date
ACCESS,9.65,9.70,9.68,0,9.70,-0.02,9/22/2017
ACCESS,9.65,9.73,9.70,0,9.71,-0.03,9/21/2017
ACCESS,9.62,9.72,9.73,0,9.73,0.01,9/20/2017
,,,,,,,
ACCESS,9.66,9.73,9.72,0,9.75,-0.01,9/19/2017
ACCESS,9.73,9.90,9.73,0,10.25,-0.17,9/18/2017
ACCESS,9.64,9.70,9.90,0,9.90,0.20,9/15/2017
ACCESS,9.70,9.72,9.70,0,9.70,-0.02,9/14/2017
ACCESS,9.66,9.66,9.72,0,9.73,0.06,9/13/2017
ACCESS,9.61,9.60,9.66,0,9.70,0.06,9/12/2017
ACCESS,9.69,9.70,9.70,0,9.80,0.00,9/11/2017
ACCESS,9.50,9.60,9.70,0,9.70,0.10,9/8/2017
ACCESS,9.60,9.66,9.60,0,10.00,-0.06,9/7/2017
ACCESS,9.85,9.90,9.91,0,10.25,0.01,9/6/2017
,,,,,,,
ACCESS,9.58,9.61,9.67,0,9.78,0.06,8/31/2017
ACCESS,9.60,10.00,9.61,0,9.98,-0.39,8/30/2017
ACCESS,9.96,10.00,10.00,0,10.00,0.00,8/29/2017
ACCESS,10.00,10.15,10.00,0,10.16,-0.15,8/28/2017
ACCESS,10.05,10.01,10.15,0,10.17,0.14,8/25/2017
ACCESS,9.94,10.29,10.01,0,10.29,-0.28,8/24/2017
ACCESS,9.85,9.85,10.24,0,10.28,0.39,8/23/2017
ACCESS,9.85,9.90,9.85,0,9.87,-0.05,8/22/2017
ACCESS,9.80,9.86,9.90,0,9.92,0.04,8/21/2017
ACCESS,9.48,9.73,9.86,0,9.90,0.13,8/18/2017
,,,,,,,
ACCESS,9.61,9.93,9.73,0,9.89,-0.20,8/17/2017
ACCESS,9.93,10.45,9.93,0,10.20,-0.52,8/16/2017
ACCESS,10.13,10.49,10.45,0,10.45,-0.04,8/15/2017
ACCESS,10.30,10.50,10.49,0,10.49,-0.01,8/14/2017
ACCESS,10.27,10.42,10.45,0,10.50,0.03,8/11/2017
ACCESS,10.19,10.43,10.25,0,10.30,-0.18,8/10/2017
ACCESS,10.21,10.20,10.43,0,10.43,0.23,8/9/2017
ACCESS,10.00,10.00,10.03,0,10.05,0.03,8/7/2017
ACCESS,10.00,10.00,10.02,0,10.10,0.02,8/4/2017
ACCESS,10.00,9.99,10.00,0,10.19,0.01,8/3/2017
,,,,,,,
ACCESS,9.99,10.04,9.99,0,10.20,-0.05,8/2/2017
ACCESS,9.98,10.05,9.99,0,10.05,-0.06,8/1/2017
ACCESS,10.05,10.11,10.05,0,10.20,-0.06,7/31/2017
ACCESS,10.10,10.30,10.11,0,10.50,-0.19,7/28/2017
ACCESS,10.25,10.25,10.55,0,10.70,0.30,7/26/2017
ACCESS,10.00,10.11,10.24,0,10.50,0.13,7/25/2017
ACCESS,9.83,9.65,10.08,0,10.08,0.43,7/24/2017
ACCESS,9.48,9.70,9.65,0,10.00,-0.05,7/21/2017
ACCESS,9.39,9.63,9.39,0,9.65,-0.24,7/20/2017
ACCESS,9.55,9.80,9.63,0,9.65,-0.17,7/19/2017
,,,,,,,
ACCESS,9.64,9.73,9.65,0,9.74,-0.08,7/18/2017
ACCESS,9.70,9.90,9.73,0,9.80,-0.17,7/17/2017
ACCESS,9.70,9.80,9.90,0,9.90,0.10,7/14/2017
ACCESS,9.53,9.95,9.80,0,9.95,-0.15,7/13/2017
ACCESS,9.74,9.80,9.95,0,9.95,0.15,7/12/2017
ACCESS,9.70,9.61,9.80,0,9.99,0.19,7/11/2017
ACCESS,9.20,9.13,9.58,0,9.58,0.45,7/10/2017
ACCESS,9.02,9.30,9.13,0,9.13,-0.17,7/7/2017
ACCESS,9.10,9.30,9.10,0,9.14,-0.20,7/6/2017
ACCESS,8.99,9.30,9.00,0,9.10,-0.30,7/5/2017
,,,,,,,
ACCESS,9.10,9.54,9.12,0,9.30,-0.42,7/4/2017
ACCESS,9.32,9.30,9.33,0,9.55,0.03,7/3/2017
ACCESS,9.25,9.55,9.30,0,9.61,-0.25,6/30/2017
ACCESS,9.10,9.10,9.55,0,9.55,0.45,6/29/2017
ACCESS,8.60,8.86,9.10,0,9.15,0.24,6/28/2017
ACCESS,8.80,9.22,8.86,0,9.15,-0.36,6/23/2017
ACCESS,9.00,9.40,9.22,0,9.40,-0.18,6/22/2017
ACCESS,9.31,9.79,9.40,0,9.70,-0.39,6/21/2017
ACCESS,9.79,10.00,9.79,0,10.00,-0.21,6/20/2017
ACCESS,10.00,10.00,10.00,0,10.02,0.00,6/19/2017
,,,,,,,
ACCESS,9.70,10.19,10.00,0,10.01,-0.19,6/16/2017
ACCESS,10.00,10.48,10.00,0,10.48,-0.48,6/15/2017
ACCESS,9.90,10.00,10.11,0,10.40,0.11,6/14/2017
ACCESS,10.23,10.76,10.36,0,10.60,-0.40,6/13/2017
ACCESS,10.48,10.40,10.76,0,10.89,0.36,6/12/2017
ACCESS,10.20,10.27,10.40,0,10.47,0.13,6/9/2017
ACCESS,9.70,9.79,10.27,0,10.27,0.48,6/8/2017
ACCESS,9.22,9.50,9.57,0,9.61,0.07,6/7/2017
ACCESS,9.10,9.50,9.50,0,9.60,0.00,6/6/2017
ACCESS,8.91,9.37,9.45,0,9.54,0.08,6/5/2017
,,,,,,,
ACCESS,8.56,8.51,8.93,0,8.93,0.42,6/2/2017
ACCESS,8.00,8.00,8.40,0,8.40,0.40,6/1/2017
ACCESS,7.75,7.90,7.96,0,7.96,0.06,5/31/2017
ACCESS,7.80,7.59,7.90,0,7.96,0.31,5/30/2017
ACCESS,7.42,7.30,7.59,0,7.66,0.29,5/26/2017
ACCESS,7.30,7.45,7.30,0,7.60,-0.15,5/25/2017
ACCESS,7.22,7.35,7.45,0,7.45,0.10,5/24/2017
ACCESS,7.35,7.40,7.35,0,7.41,-0.05,5/23/2017
ACCESS,7.30,7.50,7.40,0,7.50,-0.10,5/22/2017
ACCESS,7.22,7.28,7.35,0,7.48,0.07,5/19/2017
,,,,,,,
ACCESS,7.01,7.25,7.38,0,7.40,0.13,5/17/2017
ACCESS,6.90,7.00,7.17,0,7.17,0.17,5/16/2017
ACCESS,6.87,7.21,7.00,0,7.15,-0.21,5/15/2017
ACCESS,7.21,7.58,7.21,0,7.58,-0.37,5/12/2017
ACCESS,7.10,7.14,7.33,0,7.49,0.19,5/10/2017
ACCESS,6.81,6.81,7.14,0,7.14,0.33,5/9/2017
ACCESS,6.71,6.83,6.81,0,6.85,-0.02,5/8/2017
ACCESS,6.80,6.82,6.83,0,6.94,0.01,5/5/2017
ACCESS,6.66,6.74,6.82,0,6.85,0.08,5/4/2017
ACCESS,6.60,6.60,6.74,0,6.75,0.14,5/3/2017
,,,,,,,
ACCESS,6.50,6.65,6.60,0,6.60,-0.05,5/2/2017
ACCESS,6.59,6.66,6.65,0,6.65,-0.01,4/28/2017
ACCESS,6.26,6.48,6.58,0,6.60,0.10,4/27/2017
ACCESS,6.35,6.30,6.40,0,6.48,0.10,4/26/2017
ACCESS,6.30,6.26,6.30,0,6.40,0.04,4/25/2017
ACCESS,6.26,6.26,6.26,0,6.33,0.00,4/24/2017
ACCESS,6.20,6.27,6.26,0,6.26,-0.01,4/21/2017
ACCESS,6.23,6.25,6.27,0,6.27,0.02,4/20/2017
ACCESS,6.20,6.18,6.25,0,6.25,0.07,4/19/2017
ACCESS,6.19,6.17,6.19,0,6.29,0.02,4/18/2017
,,,,,,,
ACCESS,6.17,6.19,6.17,0,6.21,-0.02,4/13/2017
ACCESS,6.19,6.20,6.19,0,6.22,-0.01,4/12/2017
ACCESS,6.15,6.20,6.20,0,6.20,0.00,4/11/2017
ACCESS,6.15,6.22,6.20,0,6.20,-0.02,4/10/2017
ACCESS,6.22,6.28,6.22,0,6.29,-0.06,4/7/2017
ACCESS,6.28,6.41,6.28,0,6.30,-0.13,4/6/2017
ACCESS,6.12,6.25,6.41,0,6.41,0.16,4/5/2017
ACCESS,6.30,6.26,6.20,0,6.30,-0.06,4/4/2017
ACCESS,6.20,6.28,6.26,0,6.30,-0.02,4/3/2017
ACCESS,6.17,6.12,6.28,0,6.28,0.16,3/31/2017
,,,,,,,
ACCESS,6.20,6.40,6.20,0,6.20,-0.20,3/30/2017
ACCESS,6.15,6.06,6.19,0,6.20,0.13,3/29/2017
ACCESS,6.00,6.19,6.17,0,6.20,-0.02,3/28/2017
ACCESS,6.00,6.10,6.19,0,6.19,0.09,3/27/2017
ACCESS,5.83,5.93,6.10,0,6.10,0.17,3/24/2017
ACCESS,5.92,6.06,5.93,0,6.08,-0.13,3/23/2017
ACCESS,6.10,6.00,6.15,0,6.20,0.15,3/22/2017
ACCESS,6.11,6.23,6.20,0,6.30,-0.03,3/21/2017
ACCESS,6.29,6.43,6.29,0,6.32,-0.14,3/20/2017
ACCESS,6.43,6.51,6.43,0,6.50,-0.08,3/17/2017
,,,,,,,
ACCESS,6.40,6.53,6.51,0,6.55,-0.02,3/16/2017
ACCESS,6.50,6.60,6.53,0,6.60,-0.07,3/15/2017
ACCESS,6.23,6.50,6.60,0,6.60,0.10,3/14/2017
ACCESS,6.53,6.69,6.69,0,6.79,0.00,3/13/2017
ACCESS,6.50,6.70,6.69,0,6.70,-0.01,3/10/2017
ACCESS,6.35,6.49,6.70,0,6.70,0.21,3/9/2017
ACCESS,6.30,6.16,6.46,0,6.46,0.30,3/8/2017
ACCESS,6.04,6.17,6.45,0,6.45,0.28,3/7/2017
ACCESS,6.48,6.82,6.48,0,6.70,-0.34,3/6/2017
ACCESS,6.73,6.72,6.73,0,6.79,0.01,3/3/2017
,,,,,,,
ACCESS,6.72,6.80,6.72,0,6.75,-0.08,3/2/2017
ACCESS,6.70,6.72,6.72,0,6.75,0.00,3/1/2017
ACCESS,6.70,6.72,6.72,0,6.75,0.00,2/28/2017
ACCESS,6.70,6.70,6.72,0,6.75,0.02,2/27/2017
ACCESS,6.67,6.69,6.70,0,6.79,0.01,2/24/2017
ACCESS,6.67,6.84,6.69,0,6.71,-0.15,2/23/2017
ACCESS,6.75,6.88,6.84,0,6.86,-0.04,2/22/2017
ACCESS,6.71,6.71,6.88,0,6.88,0.17,2/21/2017
ACCESS,6.70,6.70,6.71,0,6.73,0.01,2/20/2017
ACCESS,6.60,6.63,6.82,0,6.89,0.19,2/17/2017
,,,,,,,
ACCESS,6.63,6.48,6.63,0,6.69,0.15,2/16/2017
ACCESS,6.60,6.55,6.60,0,6.70,0.05,2/15/2017
ACCESS,6.67,6.65,6.70,0,6.80,0.05,2/14/2017
ACCESS,6.80,6.80,6.80,0,6.85,0.00,2/13/2017
ACCESS,6.80,6.61,6.94,0,6.94,0.33,2/10/2017
ACCESS,6.60,6.65,6.61,0,6.62,-0.04,2/9/2017
ACCESS,6.60,6.60,6.65,0,6.70,0.05,2/8/2017
ACCESS,6.59,6.65,6.60,0,6.65,-0.05,2/7/2017
ACCESS,6.65,6.80,6.65,0,6.80,-0.15,2/6/2017
ACCESS,6.80,6.82,6.80,0,6.90,-0.02,2/3/2017
,,,,,,,
ACCESS,6.73,7.00,6.82,0,6.91,-0.18,2/2/2017
ACCESS,6.60,6.60,6.80,0,6.87,0.20,2/1/2017
ACCESS,6.56,6.70,6.60,0,6.61,-0.10,1/31/2017
ACCESS,6.70,6.73,6.70,0,6.80,-0.03,1/30/2017
ACCESS,6.73,6.95,6.73,0,6.95,-0.22,1/27/2017
ACCESS,6.90,7.00,6.95,0,7.01,-0.05,1/26/2017
ACCESS,6.97,7.00,7.00,0,7.04,0.00,1/25/2017
ACCESS,6.90,7.05,7.00,0,7.03,-0.05,1/24/2017
ACCESS,7.00,6.75,7.05,0,7.05,0.30,1/23/2017
ACCESS,7.00,7.00,7.00,0,7.02,0.00,1/20/2017
,,,,,,,
ACCESS,6.99,7.02,7.00,0,7.08,-0.02,1/19/2017
ACCESS,6.95,7.00,7.02,0,7.18,0.02,1/18/2017
ACCESS,6.78,6.74,7.01,0,7.07,0.27,1/17/2017
ACCESS,6.70,6.69,6.89,0,6.90,0.20,1/16/2017
ACCESS,6.56,6.57,6.69,0,6.69,0.12,1/13/2017
ACCESS,6.40,6.30,6.57,0,6.60,0.27,1/12/2017
ACCESS,6.25,6.30,6.40,0,6.45,0.10,1/11/2017
ACCESS,6.30,6.61,6.30,0,6.72,-0.31,1/10/2017
ACCESS,6.20,6.20,6.51,0,6.51,0.31,1/9/2017
ACCESS,6.14,5.99,6.28,0,6.28,0.29,1/6/2017
,,,,,,,
ACCESS,5.86,5.85,6.14,0,6.14,0.29,1/5/2017
ACCESS,5.85,5.81,5.85,0,5.89,0.04,1/4/2017
ACCESS,5.80,5.71,5.81,0,5.88,0.10,1/3/2017
ACCESS,5.77,5.78,5.87,0,5.89,0.09,12/30/2016
ACCESS,5.78,5.70,5.78,0,5.98,0.08,12/29/2016
ACCESS,5.72,5.69,5.97,0,5.97,0.28,12/28/2016
ACCESS,5.42,5.42,5.69,0,5.69,0.27,12/23/2016
ACCESS,5.50,5.50,5.70,0,5.70,0.20,12/22/2016
ACCESS,5.51,5.56,5.62,0,5.62,0.06,12/21/2016
ACCESS,5.56,5.56,5.69,0,5.69,0.13,12/20/2016
,,,,,,,
ACCESS,5.56,5.62,5.56,0,5.60,-0.06,12/19/2016
ACCESS,5.60,5.65,5.62,0,5.64,-0.03,12/16/2016
ACCESS,5.60,5.59,5.65,0,5.70,0.06,12/15/2016
ACCESS,5.53,5.50,5.59,0,5.59,0.09,12/14/2016
ACCESS,5.48,5.39,5.50,0,5.55,0.11,12/13/2016
ACCESS,5.35,5.45,5.39,0,5.41,-0.06,12/9/2016
ACCESS,5.45,5.50,5.45,0,5.50,-0.05,12/8/2016
ACCESS,5.50,5.50,5.50,0,5.51,0.00,12/7/2016
ACCESS,5.50,5.50,5.50,0,5.51,0.00,12/6/2016
ACCESS,5.50,5.50,5.50,0,5.53,0.00,12/5/2016
,,,,,,,
ACCESS,5.45,5.60,5.50,0,5.52,-0.10,12/2/2016
ACCESS,5.23,5.45,5.45,0,5.45,0.00,12/1/2016
ACCESS,5.44,5.39,5.45,0,5.65,0.06,11/30/2016
ACCESS,5.39,5.54,5.39,0,5.50,-0.15,11/29/2016
ACCESS,5.54,5.65,5.54,0,5.86,-0.11,11/28/2016
ACCESS,5.61,5.61,5.68,0,5.70,0.07,11/25/2016
ACCESS,5.58,5.60,5.61,0,5.64,0.01,11/24/2016
